X;Y;NUMERO_REGISTRO;NOMBRE;DIRECCION;PISO;NUMERO_EXPEDIENTE;CAPACIDAD;CLASE;ESTADO;DISPOSICION;FECHA_DISP_INSCRIPCION;NUMERO_DIPS;FECHA_DISP_RE_INSCRIPCION;NUMERO_DISP_DE_RECHAZO;FECHA_DISPOSICION_DE_RECHAZO;NUMERO_DISPOSICION_DE_RECALCULO_CAPACIDAD;FECHA_DISPOSICION_DE_CAPACIDAD;FECHA_DE_ENTREGA_NUEVA_REVALIDA;VENCIMIENTO;ESTADO_OBESERVACIONES;NOTIFICADO;FECHA_ENVIO;FECHA_DE_NOTIFICACION
-58.4351293;-34.558356799999999;141;GOLF DE PALERMO;TORNQUIST, ERNESTO AV. 6385; ;EE10653536/;950;C;RENOVADO 2017;147;10/09/2013;86;21/09/2017; ; ;147;10/09/2013;26/09/2017;03/12/2017; ; ; ; 
-58.37604329999999;-34.598837199999998;17;GONG;CORDOBA AV. 634; ;10577/05;100;C;RENOVADO 2017;20;10/03/2005;44;23/03/2017; ; ;51;23/03/2006;26/07/2017;27/10/2017; ; ; ; 
-58.3729449;-34.597627699999997;64;GREAT CITY;RECONQUISTA 878; ;14498/05;208;CC;SUSPENDIDO;87;22/07/2005;84;14/08/2015; ; ;5;10/01/2006;16/07/2015;13/10/2015;SUSPENDIDO; ; ; 
-58.42323869999999;-34.579653299999997;117;GROOVE;SANTA FE AV. 4389; ;147846/10;1685;C;RENOVADO 2017;51;31/03/2010;46;31/03/2017; ; ;51;31/03/2010;07/08/2017;07/11/2017; ; ; ; 
-58.37852149999999;-34.6094188;115;HIPOLITO CLUB;YRIGOYEN, HIPOLITO 851; ;18225/10;958;C;BAJA PROVISORIA;4;15/01/2010;126;28/11/2014; ; ;4;15/01/2010;17/10/2016;07/11/2016; ; ; ; 
-58.43573789999999;-34.584528900000002;108;HONDURAS HOLLYWOOD;HONDURAS 5535; ;48909/09;356;CC;BAJA DE INSC: DISP. NRO 70/14;83;14/08/2009;175;15/11/2013; ; ;83;14/08/2009; ; ; ; ; ; 
-58.43957900000000;-34.586455000000001;59;INK;VEGA, NICETO, CNEL. AV. 5635; ;20819/05;409;CC;RENOVADO 2017;69;08/06/2005;75;11/08/2017; ; ;79;09/06/2006;25/07/2017;21/08/2017; ; ; ; 
-58.43615069999999;-34.586674600000002;105;INPUT;JUSTO, JUAN B. AV. 1658; ;23794/09;742;C;RENOVADO 2017;53;24/04/2009;14;20/02/2017; ; ;103;20/08/2010;27/06/2017;28/09/2017; ; ; ; 
-58.47143549999999;-34.631308300000001;9;IVANOFF;RIVADAVIA AV. 7518; ;11153/05;323;CC;RENOVADO 2017;10;03/03/2005;33;10/03/2017; ; ;127;13/09/2005;15/09/2017;15/12/2017; ; ; ; 
-58.43806039999999;-34.587701699999997;143;JAGER;VEGA, NICETO, CNEL. AV. 5422; ;14551044/14;950;C;RENOVADO 2016;107;16/10/2014;98;14/10/2016; ; ;107;16/10/2014;07/09/2017;06/12/2017; ; ; ; 
-58.40942179999999;-34.598173899999999;106;JANNOY;CORDOBA AV. 2988; ;23791/09;448;C;RENOVADO 2017;54;30/04/2009;51;25/04/2017; ; ;54;30/04/2009;22/08/2017;17/11/2017; ; ; ; 
-58.41794819999999;-34.554511499999997;92;JET;OBLIGADO RAFAEL, AV.COSTANERA 4801; ;83133/05;688;C;BAJA INSC: DISP. NRO 88/16;81;09/08/2007;83;11/08/2016; ; ;109;19/12/2008; ; ; ; ; ; 
-58.41794819999999;-34.554511499999997;150;JET;OBLIGADO RAFAEL, AV.COSTANERA 4801; ;83133/05;688;C;INSCRIPCION 2016;96;07/10/2016; ; ; ; ;96;07/10/2016;26/09/2017;22/12/2017; ; ; ; 
-58.43332600000000;-34.586431900000001;88;KIKA;HONDURAS 5339; ;44,991/06;1100;C;RENOVADO 2017;35;16/03/2007;39;17/03/2017; ; ;35;16/03/2007;26/09/2017;30/12/2017; ; ; ; 
-58.42997600000000;-34.576950099999998;85;KIMIA;SANTA FE AV. 4999; ;81034/06;958;C;INSCRIPCION VENCIDA;3;14/02/2007;79;07/08/2009; ; ;77;13/07/2007; ; ; ; ; ; 
-58.39857090000000;-34.595867300000002;144;KUMA CLUB;URIBURU JOSE E., PRES. 1073; ;7327422/13;508;C;RENOVADO 2016;130;05/12/2014;115;07/12/2016; ; ;130;05/12/2014;08/06/2017;17/08/2017; ; ; ; 
-58.37981839999999;-34.598451500000003;113;LA CAPILLA;SUIPACHA 842; ;1445687/09;220;CC;BAJA PREVENTIVA POR DISFC NRO 107/16;113;18/12/2009;116;17/12/2015; ; ;113;18/12/2009;27/10/2016;27/01/2017;SUSPENDIDO; ; ; 
-58.461551;-34.5782156;78;LA CITY;ALVAREZ THOMAS AV. 1391; ;31391/06;940;C;RENOVADO 2016;85;23/06/2006;105;21/10/2016; ; ;85;23/06/2006;30/08/2017;28/10/2017; ; ; ; 
-58.41029660000000;-34.558371000000001;45;LA DIOSA-VIDU;OBLIGADO RAFAEL, AV.COSTANERA 3731; ;10604/05;1558;C;BAJA INSCRIPCION DISFC-2013-127-DGFYC;48;23/03/2005;123;17/09/2012; ; ;107;29/09/2011; ; ; ; ; ; 
-58.39015030000000;-34.605532699999998;4;LA FRANCE;SARMIENTO 1656; ;11117/05;1372;CC;RENOVADO 2017;5;01/03/2005;11;15/02/2017; ; ;136;29/09/2005;12/07/2017;13/10/2017; ; ; ; 
-58.36747110000000;-34.600006;77;LA MADELEINE;MOREAU DE JUSTO, ALICIA AV. 102; ;80621/05;205;CC;INSCRIPCION VENCIDA;75;01/06/2006;82;12/06/2012; ; ;75;01/06/2006; ; ; ; ; ; 
-58.37061940000000;-34.612741100000001;89;LA VENTANA;BALCARCE 431; ;89485/06;449;CC;BAJA INSC: DISP. NRO 113/12;59;10/05/2007;75;28/05/2012; ; ;59;10/05/2007; ; ; ; ; ; 
-58.43846839999999;-34.587422199999999;137;LARC;VEGA, NICETO, CNEL. AV. 5452; ;2382483/12;980;C;RENOVADO 2016;144;16/11/2012;109;17/11/2016; ; ;144;16/11/2012;07/09/2017;06/12/2017; ; ; ; 
-58.40896390000000;-34.609612900000002;34;LATINO 11;ECUADOR 60; ;10594/05;1540;C;RENOVADO 2017;37;18/03/2005;43;23/03/2017; ; ;34;17/03/2006;21/09/2017;22/12/2017; ; ; ; 
-58.39371750000000;-34.609367300000002;68;LE CLICK;RIVADAVIA AV. 1910; ;50478/05;990;CC;RENOVADO 2017;159;14/12/2005;8;02/02/2017; ; ;159;14/12/2005;20/04/2017;13/07/2017; ; ; ; 
